"review our plugin","review our plugin"
"Your feedback is important. Please take a moment to","Your feedback is important. Please take a moment to"
"Ekomi Integration","Ekomi Integration"
"Ekomi Integration Section","Ekomi Integration Section"
"Ekomi Configuration","Ekomi Configuration"
"Enabled","Enabled"
"To enable for specific store or website, please change scope from top left","To enable for specific store or website, please change scope from top left"
"Product Base Reviews","Product Base Reviews"
"Shop ID","Shop ID"
"Interface id received by eKomi","Interface id received by eKomi"
"Shop Password","Shop Password"
"Order Statu","Order Statu"
"Order status when review email should be sent. Please note number of days added for delay will be after this","Order status when review email should be sent. Please note number of days added for delay will be after this"
"Review Mode","Review Mode"
"How do you want to ask customer for review, email or sms","How do you want to ask customer for review, email or sms"
"Product Identifierd","Product Identifierd"
"Which product attribute should be used as identifier in eKomi","Which product attribute should be used as identifier in eKomi"
"Exclude Products","Exclude Products"
"Comma separated list of product IDs/SKUs which should be excluded from product export to eKomi","Comma separated list of product IDs/SKUs which should be excluded from product export to eKomi"
"Export Method","Export Method"
"When should the orders be exported to eKomi?","When should the orders be exported to eKomi?"
"TurnAround Time","TurnAround Time"
"Number of days required to complete an order","Number of days required to complete an order"
"Terms and Conditions","Terms and Conditions"
"The plugin will export orders only if you are agree with our","The plugin will export orders only if you are agree with our"
"status","status"
"eKomi Product Review Container","eKomi Product Review Container"
"Displays the product reviews for a given product","Displays the product reviews for a given product"
"Title","Title"
"Template","Template"
"SW Product Review Container","SW Product Review Container"
"On Order Status Change","On Order Status Change"
"Every 24 hours (Cron)","Every 24 hours (Cron)"
"Product ID","Product ID"
"Product SKU","Product SKU"
"Email","Email"
"SMS","SMS"
"SMS if contact number valid, otherwise Email","SMS if contact number valid, otherwise Email"
"Yes","Yes"
"No","No"
"1 Day","1 Day"
"2 Days","2 Days"
"3 Days","3 Days"
"4 Days","4 Days"
"5 Days","5 Days"
"6 Days","6 Days"
"7 Days","7 Days"
"8 Days","8 Days"
"9 Days","9 Days"
"10 Days","10 Days"
"15 Days","15 Days"
"20 Days","20 Days"
"30 Days","30 Days"
"Access denied, Invalid Shop ID or Password","Access denied, Invalid Shop ID or Password"
